"Reference Date","Total Sent","Total Timeline","Total Workflow","Receptive Start","% Start","Errors"
"01/02/2025",636,161,475,125,"19%",64
"02/02/2025",554,9,545,83,"14%",42
"03/02/2025",1634,794,840,396,"24%",174
"04/02/2025",1615,409,1206,375,"23%",176
"05/02/2025",1328,579,749,356,"26%",135
"06/02/2025",738,515,223,300,"40%",79
"07/02/2025",786,506,280,287,"36%",76
"08/02/2025",487,105,382,101,"20%",34
"09/02/2025",367,24,343,79,"21%",29
"10/02/2025",1047,585,462,359,"34%",86
"11/02/2025",982,490,492,400,"40%",104
"12/02/2025",2474,415,2059,349,"14%",250
"13/02/2025",1030,720,310,403,"39%",108
"14/02/2025",1088,794,294,361,"33%",96
"15/02/2025",617,281,336,158,"25%",37
"16/02/2025",419,52,367,83,"19%",26
"17/02/2025",1448,799,649,478,"33%",174
"18/02/2025",3856,544,3312,467,"12%",451
"19/02/2025",3941,569,3372,465,"11%",581
"20/02/2025",1606,461,1145,384,"23%",182
"21/02/2025",913,599,314,359,"39%",72
"22/02/2025",496,237,259,142,"28%",36
"23/02/2025",283,16,267,81,"28%",17
"24/02/2025",1213,950,263,445,"36%",71
"25/02/2025",1040,827,213,390,"37%",96
"26/02/2025",2110,36,2074,80,"3%",226